TrialID,TaskID,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z
1,Training,PreTask,-0.5406439,1.624621,-0.766997
1,Training,PreTask,-0.5404058,1.624615,-0.7670156
1,Training,PreTask,-0.5402088,1.624519,-0.7670261
1,Training,PreTask,-0.5399714,1.624509,-0.7670881
1,Training,PreTask,-0.539673,1.624429,-0.7671162
1,Training,PreTask,-0.5390716,1.624408,-0.7673607
1,Training,PreTask,-0.5387797,1.624382,-0.7674826
1,Training,PreTask,-0.5384963,1.624314,-0.767561
1,Training,PreTask,-0.5381708,1.624259,-0.7676554
1,Training,PreTask,-0.5375204,1.624223,-0.7678863
1,Training,PreTask,-0.5371552,1.624242,-0.7679604
1,Training,PreTask,-0.5368311,1.624226,-0.7680089
1,Training,PreTask,-0.5364981,1.624241,-0.7680128
1,Training,PreTask,-0.5357648,1.62419,-0.7680137
1,Training,PreTask,-0.5353953,1.624175,-0.7680128
1,Training,PreTask,-0.5350434,1.624149,-0.7679816
1,Training,PreTask,-0.5346688,1.624107,-0.7679828
1,Training,PreTask,-0.5338774,1.624035,-0.7680175
1,Training,PreTask,-0.5334957,1.624021,-0.7680683
1,Training,PreTask,-0.5331665,1.624013,-0.768124
1,Training,PreTask,-0.5327741,1.624019,-0.7682132
1,Training,PreTask,-0.5319424,1.624065,-0.7684471
1,Training,PreTask,-0.5316079,1.624071,-0.7685471
1,Training,PreTask,-0.5312421,1.624103,-0.7687064
1,Training,PreTask,-0.5308809,1.624107,-0.768832
1,Training,PreTask,-0.5301788,1.624089,-0.7691154
1,Training,PreTask,-0.5298499,1.624089,-0.7692734
1,Training,PreTask,-0.5291671,1.62409,-0.7696109
1,Training,PreTask,-0.5288312,1.624087,-0.7697629
1,Training,PreTask,-0.5282038,1.624144,-0.7700987
1,Training,PreTask,-0.5278946,1.624121,-0.7702081
1,Training,PreTask,-0.5275264,1.624129,-0.77039
1,Training,PreTask,-0.526901,1.624037,-0.7707616
1,Training,PreTask,-0.5266453,1.624021,-0.7709365
1,Training,PreTask,-0.5263611,1.624017,-0.7711136
1,Training,PreTask,-0.5257682,1.624027,-0.771529
1,Training,PreTask,-0.5255097,1.624021,-0.7717258
1,Training,PreTask,-0.5252445,1.623973,-0.7719198
1,Training,PreTask,-0.5246648,1.623997,-0.7722502
1,Training,PreTask,-0.5244003,1.623858,-0.7723829
1,Training,PreTask,-0.524119,1.623797,-0.7725158
1,Training,PreTask,-0.5235804,1.623691,-0.7727683
1,Training,PreTask,-0.5233096,1.623657,-0.7728666
1,Training,PreTask,-0.5231102,1.623715,-0.7730529
1,Training,PreTask,-0.5225212,1.623746,-0.7733344
1,Training,PreTask,-0.5222362,1.623768,-0.7734972
1,Training,PreTask,-0.5217389,1.62355,-0.7737228
1,Training,PreTask,-0.5214713,1.623459,-0.7738137
1,Training,PreTask,-0.5210885,1.623348,-0.7740232
1,Training,PreTask,-0.520916,1.62333,-0.7740897
1,Training,PreTask,-0.5205206,1.623239,-0.7743336
1,Training,PreTask,-0.5203462,1.623256,-0.7744685
1,Training,PreTask,-0.5201304,1.623281,-0.77472
1,Training,PreTask,-0.5200438,1.623394,-0.7749094
1,Training,PreTask,-0.5199413,1.623313,-0.7752693
1,Training,PreTask,-0.5198903,1.623146,-0.775448
1,Training,PreTask,-0.5199496,1.622967,-0.7757004
1,Training,PreTask,-0.5199813,1.622991,-0.7758263
1,Training,PreTask,-0.5199777,1.622966,-0.7760741
